numberOfBorrowers,postalCode,originalInterestRate,currentInterestRate,currentLoanDelinquencyStatus,originalCombinedLoanToValue,currentActualUPB,creditScore
numberOfBorrowers,postalCode,originalInterestRate,currentInterestRate,currentLoanDelinquencyStatus,originalCombinedLoanToValue,originalUPB,creditScore
numberOfBorrowers,originalInterestRate,currentInterestRate,currentLoanDelinquencyStatus,originalCombinedLoanToValue,currentActualUPB,propertyState,creditScore
numberOfBorrowers,originalInterestRate,currentInterestRate,currentLoanDelinquencyStatus,originalCombinedLoanToValue,originalUPB,propertyState,creditScore
numberOfBorrowers,originalUPB,originalInterestRate,currentInterestRate,currentLoanDelinquencyStatus,originalCombinedLoanToValue,currentActualUPB,creditScore
postalCode,originalInterestRate,currentInterestRate,currentLoanDelinquencyStatus,originalCombinedLoanToValue,currentActualUPB,propertyState,creditScore
postalCode,originalInterestRate,currentInterestRate,currentLoanDelinquencyStatus,originalCombinedLoanToValue,originalUPB,propertyState,creditScore
originalUPB,originalInterestRate,postalCode,currentInterestRate,currentLoanDelinquencyStatus,originalCombinedLoanToValue,currentActualUPB,creditScore
originalUPB,originalInterestRate,currentInterestRate,currentLoanDelinquencyStatus,originalCombinedLoanToValue,currentActualUPB,propertyState,creditScore
numberOfBorrowers,postalCode,currentInterestRate,currentLoanDelinquencyStatus,originalCombinedLoanToValue,currentActualUPB,propertyState,creditScore
numberOfBorrowers,postalCode,currentInterestRate,currentLoanDelinquencyStatus,originalCombinedLoanToValue,originalUPB,propertyState,creditScore
numberOfBorrowers,originalUPB,postalCode,currentInterestRate,currentLoanDelinquencyStatus,originalCombinedLoanToValue,currentActualUPB,creditScore
numberOfBorrowers,originalUPB,currentInterestRate,currentLoanDelinquencyStatus,originalCombinedLoanToValue,currentActualUPB,propertyState,creditScore
originalUPB,postalCode,currentInterestRate,currentLoanDelinquencyStatus,originalCombinedLoanToValue,currentActualUPB,propertyState,creditScore
numberOfBorrowers,postalCode,originalInterestRate,currentLoanDelinquencyStatus,originalCombinedLoanToValue,currentActualUPB,propertyState,creditScore
numberOfBorrowers,postalCode,originalInterestRate,currentLoanDelinquencyStatus,originalCombinedLoanToValue,originalUPB,propertyState,creditScore
numberOfBorrowers,originalUPB,originalInterestRate,postalCode,currentLoanDelinquencyStatus,originalCombinedLoanToValue,currentActualUPB,creditScore
numberOfBorrowers,originalUPB,originalInterestRate,currentLoanDelinquencyStatus,originalCombinedLoanToValue,currentActualUPB,propertyState,creditScore
originalUPB,originalInterestRate,postalCode,currentLoanDelinquencyStatus,originalCombinedLoanToValue,currentActualUPB,propertyState,creditScore
numberOfBorrowers,originalUPB,postalCode,currentLoanDelinquencyStatus,originalCombinedLoanToValue,currentActualUPB,propertyState,creditScore
numberOfBorrowers,postalCode,originalInterestRate,numberOfUnits,originalDebtToIncomeRatio,originalCombinedLoanToValue,originalUPB,creditScore
numberOfBorrowers,originalInterestRate,numberOfUnits,originalDebtToIncomeRatio,originalCombinedLoanToValue,originalUPB,propertyState,creditScore
numberOfBorrowers,postalCode,originalInterestRate,originalDebtToIncomeRatio,originalCombinedLoanToValue,originalUPB,propertyState,creditScore
postalCode,originalInterestRate,numberOfUnits,originalDebtToIncomeRatio,originalCombinedLoanToValue,originalUPB,propertyState,creditScore
numberOfBorrowers,postalCode,numberOfUnits,originalDebtToIncomeRatio,originalCombinedLoanToValue,originalUPB,propertyState,creditScore
