,support,itemsets
87,0.06060606060606061,"frozenset({'modificationFlag', 'DebtToIncomeRatioOriginal'})"
88,0.09090909090909091,"frozenset({'numberOfBorrowers', 'DebtToIncomeRatioOriginal'})"
89,0.09090909090909091,"frozenset({'numberOfUnits', 'DebtToIncomeRatioOriginal'})"
90,0.12121212121212122,"frozenset({'postalCode', 'DebtToIncomeRatioOriginal'})"
91,0.06060606060606061,"frozenset({'DebtToIncomeRatioOriginal', 'prepaymentPenaltyMortgageFlag'})"
92,0.09090909090909091,"frozenset({'productType', 'DebtToIncomeRatioOriginal'})"
93,0.15151515151515152,"frozenset({'propertyState', 'DebtToIncomeRatioOriginal'})"
94,0.06060606060606061,"frozenset({'propertyType', 'DebtToIncomeRatioOriginal'})"
95,0.06060606060606061,"frozenset({'UPBactual', 'DebtToIncomeRatioOriginal'})"
96,0.12121212121212122,"frozenset({'UPBoriginal', 'DebtToIncomeRatioOriginal'})"
97,0.06060606060606061,"frozenset({'DebtToIncomeRatioOriginal', 'LTV'})"
98,0.06060606060606061,"frozenset({'creditScoreOriginal', 'DebtToIncomeRatioOriginal'})"
99,0.09090909090909091,"frozenset({'LTVoriginal', 'DebtToIncomeRatioOriginal'})"
100,0.21212121212121213,"frozenset({'interestRateCurrent', 'interestRateOriginal'})"
101,0.12121212121212122,"frozenset({'loanAge', 'interestRateCurrent'})"
102,0.06060606060606061,"frozenset({'interestRateCurrent', 'loanPurpose'})"
103,0.06060606060606061,"frozenset({'interestRateCurrent', 'loanTermOriginal'})"
104,0.09090909090909091,"frozenset({'interestRateCurrent', 'modificationFlag'})"
105,0.09090909090909091,"frozenset({'interestRateCurrent', 'numberOfBorrowers'})"
106,0.06060606060606061,"frozenset({'interestRateCurrent', 'numberOfUnits'})"
107,0.12121212121212122,"frozenset({'interestRateCurrent', 'postalCode'})"
108,0.06060606060606061,"frozenset({'interestRateCurrent', 'prepaymentPenaltyMortgageFlag'})"
109,0.09090909090909091,"frozenset({'productType', 'interestRateCurrent'})"
110,0.12121212121212122,"frozenset({'interestRateCurrent', 'propertyState'})"
111,0.06060606060606061,"frozenset({'propertyType', 'interestRateCurrent'})"
112,0.09090909090909091,"frozenset({'UPBactual', 'interestRateCurrent'})"
113,0.15151515151515152,"frozenset({'UPBoriginal', 'interestRateCurrent'})"
114,0.15151515151515152,"frozenset({'interestRateCurrent', 'LTV'})"
115,0.09090909090909091,"frozenset({'creditScoreOriginal', 'interestRateCurrent'})"
116,0.15151515151515152,"frozenset({'LTVoriginal', 'interestRateCurrent'})"
117,0.09090909090909091,"frozenset({'loanAge', 'interestRateOriginal'})"
118,0.06060606060606061,"frozenset({'loanTermOriginal', 'interestRateOriginal'})"
119,0.06060606060606061,"frozenset({'modificationFlag', 'interestRateOriginal'})"
120,0.09090909090909091,"frozenset({'numberOfBorrowers', 'interestRateOriginal'})"
121,0.06060606060606061,"frozenset({'numberOfUnits', 'interestRateOriginal'})"
122,0.12121212121212122,"frozenset({'postalCode', 'interestRateOriginal'})"
123,0.06060606060606061,"frozenset({'prepaymentPenaltyMortgageFlag', 'interestRateOriginal'})"
124,0.06060606060606061,"frozenset({'productType', 'interestRateOriginal'})"
125,0.15151515151515152,"frozenset({'propertyState', 'interestRateOriginal'})"
126,0.06060606060606061,"frozenset({'propertyType', 'interestRateOriginal'})"
127,0.09090909090909091,"frozenset({'UPBactual', 'interestRateOriginal'})"
128,0.18181818181818182,"frozenset({'UPBoriginal', 'interestRateOriginal'})"
129,0.15151515151515152,"frozenset({'LTV', 'interestRateOriginal'})"
130,0.09090909090909091,"frozenset({'creditScoreOriginal', 'interestRateOriginal'})"
131,0.18181818181818182,"frozenset({'LTVoriginal', 'interestRateOriginal'})"
132,0.06060606060606061,"frozenset({'DebtToIncomeRatioCurrent', 'interestRateOriginal'})"
133,0.09090909090909091,"frozenset({'loanAge', 'loanPurpose'})"
134,0.09090909090909091,"frozenset({'loanAge', 'modificationFlag'})"
135,0.09090909090909091,"frozenset({'loanAge', 'numberOfBorrowers'})"
136,0.06060606060606061,"frozenset({'loanAge', 'numberOfUnits'})"
137,0.06060606060606061,"frozenset({'loanAge', 'occupancyStatus'})"
138,0.06060606060606061,"frozenset({'loanAge', 'postalCode'})"
139,0.06060606060606061,"frozenset({'loanAge', 'preHarpLoanSequenceNumber'})"
140,0.06060606060606061,"frozenset({'loanAge', 'prepaymentPenaltyMortgageFlag'})"
141,0.06060606060606061,"frozenset({'productType', 'loanAge'})"
142,0.06060606060606061,"frozenset({'UPBoriginal', 'loanAge'})"
143,0.09090909090909091,"frozenset({'loanAge', 'LTV'})"
144,0.06060606060606061,"frozenset({'CLTV', 'loanAge'})"
145,0.06060606060606061,"frozenset({'creditScoreOriginal', 'loanAge'})"
146,0.06060606060606061,"frozenset({'modificationFlag', 'loanPurpose'})"
147,0.09090909090909091,"frozenset({'numberOfBorrowers', 'loanPurpose'})"
148,0.06060606060606061,"frozenset({'numberOfUnits', 'loanPurpose'})"
149,0.06060606060606061,"frozenset({'occupancyStatus', 'loanPurpose'})"
150,0.06060606060606061,"frozenset({'postalCode', 'loanPurpose'})"
151,0.06060606060606061,"frozenset({'preHarpLoanSequenceNumber', 'loanPurpose'})"
152,0.06060606060606061,"frozenset({'productType', 'loanPurpose'})"
153,0.06060606060606061,"frozenset({'UPBoriginal', 'loanPurpose'})"
154,0.06060606060606061,"frozenset({'loanTermOriginal', 'postalCode'})"
155,0.06060606060606061,"frozenset({'loanTermOriginal', 'prepaymentPenaltyMortgageFlag'})"
156,0.06060606060606061,"frozenset({'productType', 'loanTermOriginal'})"
157,0.06060606060606061,"frozenset({'propertyState', 'loanTermOriginal'})"
158,0.06060606060606061,"frozenset({'propertyType', 'loanTermOriginal'})"
159,0.06060606060606061,"frozenset({'UPBoriginal', 'loanTermOriginal'})"
160,0.06060606060606061,"frozenset({'modificationFlag', 'numberOfBorrowers'})"
161,0.06060606060606061,"frozenset({'modificationFlag', 'numberOfUnits'})"
162,0.06060606060606061,"frozenset({'modificationFlag', 'postalCode'})"
163,0.06060606060606061,"frozenset({'productType', 'modificationFlag'})"
164,0.09090909090909091,"frozenset({'numberOfUnits', 'numberOfBorrowers'})"
165,0.06060606060606061,"frozenset({'numberOfBorrowers', 'occupancyStatus'})"
166,0.12121212121212122,"frozenset({'numberOfBorrowers', 'postalCode'})"
167,0.06060606060606061,"frozenset({'preHarpLoanSequenceNumber', 'numberOfBorrowers'})"
168,0.06060606060606061,"frozenset({'productType', 'numberOfBorrowers'})"
169,0.09090909090909091,"frozenset({'numberOfBorrowers', 'propertyState'})"
170,0.06060606060606061,"frozenset({'UPBactual', 'numberOfBorrowers'})"
171,0.12121212121212122,"frozenset({'UPBoriginal', 'numberOfBorrowers'})"
172,0.06060606060606061,"frozenset({'CLTV', 'numberOfBorrowers'})"
173,0.09090909090909091,"frozenset({'creditScoreOriginal', 'numberOfBorrowers'})"
174,0.06060606060606061,"frozenset({'numberOfUnits', 'occupancyStatus'})"
175,0.12121212121212122,"frozenset({'numberOfUnits', 'postalCode'})"
176,0.06060606060606061,"frozenset({'productType', 'numberOfUnits'})"
177,0.09090909090909091,"frozenset({'numberOfUnits', 'propertyState'})"
178,0.06060606060606061,"frozenset({'UPBoriginal', 'numberOfUnits'})"
179,0.06060606060606061,"frozenset({'postalCode', 'occupancyStatus'})"
180,0.06060606060606061,"frozenset({'preHarpLoanSequenceNumber', 'occupancyStatus'})"
181,0.06060606060606061,"frozenset({'propertyState', 'occupancyStatus'})"
182,0.06060606060606061,"frozenset({'UPBoriginal', 'occupancyStatus'})"
183,0.06060606060606061,"frozenset({'postalCode', 'prepaymentPenaltyMortgageFlag'})"
184,0.09090909090909091,"frozenset({'productType', 'postalCode'})"
185,0.18181818181818182,"frozenset({'propertyState', 'postalCode'})"
186,0.06060606060606061,"frozenset({'propertyType', 'postalCode'})"
187,0.06060606060606061,"frozenset({'UPBactual', 'postalCode'})"
188,0.12121212121212122,"frozenset({'UPBoriginal', 'postalCode'})"
189,0.06060606060606061,"frozenset({'creditScoreOriginal', 'postalCode'})"
190,0.06060606060606061,"frozenset({'LTVoriginal', 'postalCode'})"
191,0.06060606060606061,"frozenset({'UPBoriginal', 'preHarpLoanSequenceNumber'})"
192,0.06060606060606061,"frozenset({'productType', 'prepaymentPenaltyMortgageFlag'})"
193,0.06060606060606061,"frozenset({'propertyState', 'prepaymentPenaltyMortgageFlag'})"
194,0.06060606060606061,"frozenset({'propertyType', 'prepaymentPenaltyMortgageFlag'})"
195,0.06060606060606061,"frozenset({'UPBoriginal', 'prepaymentPenaltyMortgageFlag'})"
196,0.06060606060606061,"frozenset({'productType', 'propertyState'})"
197,0.06060606060606061,"frozenset({'productType', 'propertyType'})"
