,support,itemsets,length
4491,0.06060606060606061,"frozenset({'UPBoriginal', 'interestRateOriginal', 'postalCode', 'interestRateCurrent', 'CLTVoriginal', 'UPBactual', 'propertyState', 'creditScore'})",8
4492,0.06060606060606061,"frozenset({'numberOfBorrowers', 'UPBoriginal', 'postalCode', 'interestRateCurrent', 'CLTVoriginal', 'UPBactual', 'propertyState', 'creditScore'})",8
4493,0.06060606060606061,"frozenset({'numberOfBorrowers', 'postalCode', 'interestRateOriginal', 'numberOfUnits', 'CLTVoriginal', 'UPBoriginal', 'propertyState', 'creditScore'})",8
4494,0.06060606060606061,"frozenset({'numberOfBorrowers', 'UPBoriginal', 'interestRateOriginal', 'postalCode', 'CLTVoriginal', 'UPBactual', 'propertyState', 'creditScore'})",8
4495,0.06060606060606061,"frozenset({'numberOfBorrowers', 'postalCode', 'interestRateOriginal', 'creditScoreOriginal', 'CLTVoriginal', 'UPBoriginal', 'propertyState', 'creditScore'})",8
4496,0.06060606060606061,"frozenset({'loanAge', 'preHarpLoanSequenceNumber', 'numberOfBorrowers', 'occupancyStatus', 'CLTVoriginal', 'loanPurpose', 'UPBoriginal', 'creditScore'})",8
4497,0.06060606060606061,"frozenset({'numberOfBorrowers', 'postalCode', 'interestRateOriginal', 'interestRateCurrent', 'currentLoanDelinquencyStatus', 'CLTVoriginal', 'UPBactual', 'propertyState'})",8
4498,0.06060606060606061,"frozenset({'numberOfBorrowers', 'postalCode', 'interestRateOriginal', 'interestRateCurrent', 'currentLoanDelinquencyStatus', 'CLTVoriginal', 'UPBoriginal', 'propertyState'})",8
4499,0.06060606060606061,"frozenset({'numberOfBorrowers', 'UPBoriginal', 'interestRateOriginal', 'postalCode', 'interestRateCurrent', 'currentLoanDelinquencyStatus', 'CLTVoriginal', 'UPBactual'})",8
4500,0.06060606060606061,"frozenset({'numberOfBorrowers', 'UPBoriginal', 'interestRateOriginal', 'interestRateCurrent', 'currentLoanDelinquencyStatus', 'CLTVoriginal', 'UPBactual', 'propertyState'})",8
4501,0.06060606060606061,"frozenset({'UPBoriginal', 'interestRateOriginal', 'postalCode', 'interestRateCurrent', 'currentLoanDelinquencyStatus', 'CLTVoriginal', 'UPBactual', 'propertyState'})",8
4502,0.06060606060606061,"frozenset({'numberOfBorrowers', 'UPBoriginal', 'postalCode', 'interestRateCurrent', 'currentLoanDelinquencyStatus', 'CLTVoriginal', 'UPBactual', 'propertyState'})",8
4503,0.06060606060606061,"frozenset({'numberOfBorrowers', 'UPBoriginal', 'interestRateOriginal', 'postalCode', 'currentLoanDelinquencyStatus', 'CLTVoriginal', 'UPBactual', 'propertyState'})",8
4504,0.06060606060606061,"frozenset({'numberOfBorrowers', 'postalCode', 'interestRateOriginal', 'numberOfUnits', 'DebtToIncomeRatioOriginal', 'CLTVoriginal', 'UPBoriginal', 'propertyState'})",8
4505,0.06060606060606061,"frozenset({'numberOfBorrowers', 'UPBoriginal', 'interestRateOriginal', 'postalCode', 'interestRateCurrent', 'CLTVoriginal', 'UPBactual', 'propertyState'})",8
4506,0.06060606060606061,"frozenset({'numberOfBorrowers', 'postalCode', 'interestRateOriginal', 'interestRateCurrent', 'currentLoanDelinquencyStatus', 'UPBactual', 'propertyState', 'creditScore'})",8
4507,0.06060606060606061,"frozenset({'numberOfBorrowers', 'postalCode', 'interestRateOriginal', 'interestRateCurrent', 'currentLoanDelinquencyStatus', 'UPBoriginal', 'propertyState', 'creditScore'})",8
4508,0.06060606060606061,"frozenset({'numberOfBorrowers', 'UPBoriginal', 'interestRateOriginal', 'postalCode', 'interestRateCurrent', 'currentLoanDelinquencyStatus', 'UPBactual', 'creditScore'})",8
4509,0.06060606060606061,"frozenset({'numberOfBorrowers', 'UPBoriginal', 'interestRateOriginal', 'interestRateCurrent', 'currentLoanDelinquencyStatus', 'UPBactual', 'propertyState', 'creditScore'})",8
4510,0.06060606060606061,"frozenset({'UPBoriginal', 'interestRateOriginal', 'postalCode', 'interestRateCurrent', 'currentLoanDelinquencyStatus', 'UPBactual', 'propertyState', 'creditScore'})",8
4511,0.06060606060606061,"frozenset({'numberOfBorrowers', 'UPBoriginal', 'postalCode', 'interestRateCurrent', 'currentLoanDelinquencyStatus', 'UPBactual', 'propertyState', 'creditScore'})",8
4512,0.06060606060606061,"frozenset({'numberOfBorrowers', 'UPBoriginal', 'interestRateOriginal', 'postalCode', 'currentLoanDelinquencyStatus', 'UPBactual', 'propertyState', 'creditScore'})",8
4513,0.06060606060606061,"frozenset({'postalCode', 'interestRateOriginal', 'prepaymentPenaltyMortgageFlag', 'interestRateCurrent', 'loanTermOriginal', 'DebtToIncomeRatioOriginal', 'productType', 'creditScore'})",8
4514,0.06060606060606061,"frozenset({'postalCode', 'interestRateOriginal', 'prepaymentPenaltyMortgageFlag', 'interestRateCurrent', 'loanTermOriginal', 'DebtToIncomeRatioOriginal', 'propertyState', 'creditScore'})",8
